x = 0.0, y = Infinity
x = 0.5235987755982988, y = 0.5000000000000002
x = 1.0471975511965976, y = -0.28867513459481275
x = 1.5707963267948966, y = -0.5
x = 2.0943951023931953, y = -0.2886751345948131
x = 2.617993877991494, y = 0.499999999999999
x = 3.1415926535897927, y = 8.825285803042894E14
x = 3.6651914291880914, y = -0.5000000000000019
x = 4.1887902047863905, y = 0.28867513459481253
x = 4.71238898038469, y = 0.5
x = 5.235987755982989, y = 0.2886751345948128
x = 5.759586531581288, y = -0.500000000000001
